Job #,Rep,Job Name,Buyer,$ Booked but not shipped,  Date,Invoice      Date,$ Shipped and Invoiced,Margin,Commissions Due,Paid        Date,id,creation,modified
9027J,VB,"Jackson Hole Airport - Jackson, Wyoming",Ron Peterson,,7/6/09,12/21/09,"50,897",,,4/5/10
,,,,,,,,"92,368","46,184"
9027K,VB,"Jackson Hole Airport - Jackson, Wyoming",Ron Peterson,,12/21/09,1/21/10,"27,372","27,372","13,686"
9034B,PW,"Long Beach and Burnett - Long Beach, CA",BLF,,7/23/09,12/22/09,"35,000","1,514",757,3/1/10
9034C,PW,"Long Beach and Burnett - Long Beach, CA",BLF,,7/23/09,1/4/10,"25,353",302,151,3/1/10
9040,PW,"Dr Snows - Palmdale, CA",RNP,"38,053",8/11/09
9041B,VB,"Stein-Erikson Lodge Spa Add - Park City, UT",Ron Peterson,,8/25/09,8/31/09,"8,441","1,397",699,2/22/10
9041C,VB,"Stein-Erikson Lodge Spa Add - Park City, UT",Ron Peterson,,8/26/09,8/31/09,"3,220",599,300,2/22/10
9041D,VB,"Stein-Erikson Lodge Spa Add - Park City, UT",Ron Peterson,,10/9/09,10/14/09,"3,043",589,295,2/22/10
9041E,VB,"Stein-Erikson Lodge Spa Add - Park City, UT",Ron Peterson,,11/20/09,12/1/09,"5,465","1,197",599,3/16/10
9047,KD,"Comfort Inn - Oklahoma City, OK",Integrated Const. Services,"66,500",9/8/09
9053,VB,"Clearfield H. S. Gym - Clearfield, UT",Ron Peterson,,9/22/09,10/16/09,"11,274","2,755","1,378",4/5/10
9056,DM,"Golden Corral - Sheridan, CO",Worden Const.,,10/13/09,3/10/10,"24,500","8,959","4,480"
9065,KD,"Wendy's - Dodge City, KS",The Beacon Group,"9,225",11/11/09
9072,VB,"Jackson Hole Airport - Jackson, Wyoming (FSC benches)",Ron Peterson,"15,000",12/28/09
10002,KD,"Wendy's - Edenton, NC",Sechrist,"8,500",1/6/10
10003,KD,Moss Point Landing
10004,PW,"Central Coast Kidney - Santa Maria, CA",Stasawick,"16,603",2/4/10
10005,PW,"Autozone - Grover Beach, CA",Gemini,,2/5/10,3/29/10,"29,569","6,463","3,232"
10006,DM,"Golden Corral - Lancaster, OH",Berry & Miller,,2/5/10,4/2/10,"22,978","4,842","2,421"
10007,DM,"Golden Corral - Grand Prairie, TX",GC Development,,2/18/10,3/19/10,"2,440",696,348,3/25/10
10008,PW,"Santa Maria Court Clerk's - Santa Maria, CA",Gemini,"43,996",2/18/10
10009,PW,"SSF - Paso Robles, CA",SRG,"99,999",2/18/10
10010,DM,"Chili's - Vernon Hills, IL",Fox River Components,"15,152",2/18/10
