80,9073,PW,HWI Studio - Burbank CA,Tru Trus,,12/29/09,1/19/10,26052,4238,2119,2/1/10,,
81,10001,JW,Kalahari Remodel - Apple Valley MN,Bluelinx,,1/4/10,2/15/10,880,487,0,3/2/10,,
82,10016,SC,Trader Joe's - Davis CA,Hausmann,11500,3/5/10,,CANCELLED 3/10/10,,,,,
83,7044,PW,Office Warehouse - Lancaster CA,RNP,145000,4/20/07,,,,,,,
84,7102,PW,Del Monte - Santa Barbara CA,Kizer Const.,10593,9/5/07,,,,,,,
85,8039,PW,Burbank Offices - Burbank CA,RNP,19995,3/20/08,,,,,,,
86,8057,RH,West Side Plaza - San Bernardino CA,Pagliaro,30988,5/20/08,,,,,,,
87,8090,RH,Del Norte Mezzanine - Oxnard CA,EFS,17300,7/29/08,,,,,,,
88,8092A,RH,Jefferson Square - La Quinta CA,Pagliaro,,7/30/08,10/16/08,7165,0,0,,,
89,8092B,RH,Jefferson Square - La Quinta CA,Pagliaro,,7/30/08,11/13/08,27434,4517,0,,,
90,8146,RH,Lake Forest Gateway 6A 6B,Pagliaro,19701,12/16/08,,,,,,,
91,9008,PW,Colony Square- Atascadero CA,SRG,101275,2/11/09,,,,,,,
92,9011A,PW,Six-Fifty-Five Central - Buellton CA,WesCay,,2/20/09,3/10/10,25690,6654,3327,,,
93,9011,PW,Six-Fifty-Five Central - Buellton CA,WesCay,52300,2/20/09,,,,,,,
94,9012F,PW,Orsini III - Los Angeles CA,BLF,,2/27/09,1/27/10,13647,5175,2588,3/5/10,,
95,9012G,PW,Orsini III - Los Angeles CA,BLF,,2/27/10,3/2/10,1951,1778,889,4/5/10,,
96,9020D,PW,The Summit - Calabasas CA,BLF,,4/3/09,12/30/09,60512,18363,9181,,,
97,9026,BD,Avenue K Plaza - Lancaster CA,TE West,,6/29/09,3/1/10,15885,2362,1529,3/17/10,,
98,9027A,VB,Jackson Hole Airport - Jackson Wyoming,Ron Peterson,,7/6/09,7/31/09,23900,,,11/11/09,,
99,9027B,VB,Jackson Hole Airport - Jackson Wyoming,Ron Peterson,,7/6/09,8/20/09,101282,,,11/11/09,,
100,9027C,VB,Jackson Hole Airport - Jackson Wyoming,Ron Peterson,,7/6/09,9/30/09,91780,,,12/16/10,,
101,9027D,VB,Jackson Hole Airport - Jackson Wyoming,Ron Peterson,,7/6/09,10/30/09,160676,,,12/28/10,,
102,9027E,VB,Jackson Hole Airport - Jackson Wyoming,Ron Peterson,,7/6/09,10/30/09,197660,,,2/25/10,,
103,9027F,VB,Jackson Hole Airport - Jackson Wyoming,Ron Peterson,,7/6/09,11/30/09,77500,,,2/25/10,,
104,9027G,VB,Jackson Hole Airport - Jackson Wyoming,Ron Peterson,,7/6/09,11/30/09,35415,,,2/25/10,,
105,9027H,VB,Jackson Hole Airport - Jackson Wyoming,Ron Peterson,,7/6/09,12/21/09,66670,,,2/25/10,,
106,9027J,VB,Jackson Hole Airport - Jackson Wyoming,Ron Peterson,,7/6/09,12/21/09,50897,,,4/5/10,,
107,,,,,,,,,92368,46184,,,
108,9027K,VB,Jackson Hole Airport - Jackson Wyoming,Ron Peterson,,12/21/09,1/21/10,27372,27372,13686,,,
109,9034B,PW,Long Beach and Burnett - Long Beach CA,BLF,,7/23/09,12/22/09,35000,1514,757,3/1/10,,
110,9034C,PW,Long Beach and Burnett - Long Beach CA,BLF,,7/23/09,1/4/10,25353,302,151,3/1/10,,
111,9040,PW,Dr Snows - Palmdale CA,RNP,38053,8/11/09,,,,,,,
112,9041B,VB,Stein-Erikson Lodge Spa Add - Park City UT,Ron Peterson,,8/25/09,8/31/09,8441,1397,699,2/22/10,,
